,names,reviewText,reviewRating,label
0,cafes_list,"Pros: Lots of items you would not expect from a Chinese bakery Friendly owners Great Value Cons: Service can be slow when it's busy Having read the previous reviews, apparently the owners of this place changed recently. I never experienced this place with the previous owners so I can only base my reviews on how they are now. ABC is your standard Chinese bakery with a lot of hot food you can order as well. I have always seen this place whenever I come to same plaza for dim sum. It looks very small on the outside but there's a large amount of tables and space when you come inside. ABC has all the items you would expect from a Chinese bakery and then some. For breakfast, they have a couple of combos that of great value ion my opinion. I got a combo which included a beef brisket noodle, egg sandwich and a very large cold milk tea for $6.50. The beef brisket noodle had a great amount of brisket and a good amount of veggies to boot. Normally you get no veggies at all! I love the owners. It seems to be a ma and pa type of ownership. They were very nice and friendly. Their English could use some work but they try very hard to get an understanding with you if you don't speak Chinese. It seems though, that it's only them working the front with some kitchen staff in the back. When it get super busy, you can expect some wait times. I'm really glad I decided to try this place out. I can so see myself coming here instead if I don't want to wait for dim sum. I love supporting a local business and this is straight up one of the businesses we should be supporting.",4-star,positive
1,cafes_list,"Best egg-tarts in town! There's really not much to say about a hong kong style fastfood restaurant. You don't come here for the customer service, you don't come here for the luxurious architecture, and you don't come here on a first date. What you do come here for is cheap and authentic hong kong dishes, the bakery, and the FRESH EGG TARTS.",4-star,positive
2,cafes_list,"I've been to ABC Bakery a few times since I read they were one of the top places for egg tarts. Nothing beat the first time I went though, I'd have given it 5 stars for those egg tarts. Unfortunately, the experience has been worse and worse with each time I've went. The fact that it's under new ownership explains a lot. On my most recent visit, I ordered a bowl of wonton noodles, a slice of Chinese White Honeycomb Cake (???), and an egg tart for $10 flat. The wonton noodles are okay, you get six (smaller-than-average) wontons in the bowl and a lot of noodles with some chopped scallions. The white honeycomb cake is decent and you get a fairly large slice. The supposed star of the show, the egg tart, was extremely disappointing. The egg tart looked like the biscuit ones, instead of with the flaky crust (????). When we asked, the lady (who doesn't speak any English) said it is a new low-fat recipe. The more health-conscious decision is not worth it because there wasn't much rise in the pastry itself and it became more dense to eat. The egg custard was also bland and lacked flavour and sweetness. I've never really had bad egg tarts before but this was by far the worst in my experience. The mini dim sum egg tarts are better, even ones from Chinese buffets I'd say are better. While everything was cheap, I was left with an unsatisfying experience from a longtime favourite. I might give it one more try, though not for many months. I'd have given it a 1-star rating, but I'll give it an extra star based on its history and for the previous owners.",2-star,negative
3,cafes_list,"FYI, Closed Monday's New ownership for about 10 weeks, new menu's, the classic egg tart is not the same as it was before, it was hot but not cook long enough in the oven or something as the egg tart is stuck to the aluminum holder and as you try to pry the egg tart off, it literally fell apart, NOT GOOD. Nice try by the new owners but not enough for me to come back. Unfortunately the previous owners has retired. It was a great institution for so long as I will find another place before they become all extinct.",1-star,negative
4,cafes_list,"The inside may not look like much but they make a mean egg tart and have very good BBQ pork buns. This place is very old school and has that charm, reminds me of the bakery cafes I grew up with....their lunch menu items are also very good, I tend to order the rice noodles when I am in the hood.",4-star,positive
5,cafes_list,I usually come for the egg tart and it is one of the best Hong Kong style Egg Tart!! They always bake it so always fresh for egg tart. so custard is warm and silky smooth.,5-star,positive
6,cafes_list,"Everything, I meant everything were good. Were there for week day breakfast. Service was quick and exactly what I asked for. The fresh from the over egg tart, OMG, sooooo good. Services are good. Very nice owner and accommodating.",5-star,positive
7,cafes_list,"It's more like 3 and a 1/2 stars, but if value is your thing, and a $5 lunch wins the game for you, then it's a 4 and a 1/2 stars. The hot kitchen menu is CHEAP AF, and consistently good. Simple, but good. I usually order the Beef Brisket on Rice, as I admire the cheap meat's tenderness to price ratio, which is seemingly earned from hours of cooking. A bit fatty, even for brisket, and there's not much to it except the beef over rice. Good enough for a quick lunch.",3-star,negative
8,cafes_list,"This place got to have the best Hong Kong style egg tarts in town. The egg custard is warm and silky smooth and the pastry is flaky like puff pastry. The combination is just a perfect marriage. So thankful for the one who invented this tart for a afternoon snack favourite for many people from Hong Kong. The milk tea is also really creamy with rich black tea taste. I always come here just for the egg tarts. I had to wait 20 minutes for the freshly baked egg tarts. For $0.95 a tart is a wonderful price with a large milk tea for $1.60 is really nice to my wallet. lol! The decor is a little dated, but I like the newly renovated washroom. T",4-star,positive
9,cafes_list,"Make a quick stop here while waiting for dim sum next door. We got the toast and milk tea, both were good. My favorite thing about this place is the decor though, it kind of reminds me of the chacanting in hk :)",4-star,positive
